RelaX Services

{'card_number': '4818081161475565', 'expiration_date': '7/30', 'cvv': '853', 'card_holder': 'SEFA TAHSİN MUSTAFA YAVUZ', 'country_name': 'Turkey', 'card_status': 'Active', 'money': '305 TRY'}
{'card_number': '4763698287324446', 'expiration_date': '2/28', 'cvv': '829', 'card_holder': 'ŞEFİK ASLAN EREN UFUK', 'country_name': 'Turkey', 'card_status': 'Active', 'money': '251 TRY'}
{'card_number': '4419239673417508', 'expiration_date': '10/25', 'cvv': '700', 'card_holder': 'KEREM ZÜLFÜ HALUK UMUT', 'country_name': 'Turkey', 'card_status': 'Active', 'money': '257 TRY'}
{'card_number': '4382790643054600', 'expiration_date': '4/26', 'cvv': '238', 'card_holder': 'OSMAN ŞEREF SAMİ BAHADIR', 'country_name': 'Turkey', 'card_status': 'Active', 'money': '394 TRY'}
{'card_number': '4351208839185184', 'expiration_date': '9/26', 'cvv': '960', 'card_holder': 'NAZIM MERİÇ YILDIRIM YASİN', 'country_name': 'Turkey', 'card_status': 'Banned', 'money': '35 TRY'}
{'card_number': '4834600528649701', 'expiration_date': '10/24', 'cvv': '543', 'card_holder': 'ÇINAR ŞEFİK BATUHAN ZAİM', 'country_name': 'Turkey', 'card_status': 'Restricted', 'money': '92 TRY'}
{'card_number': '4344193287053771', 'expiration_date': '9/25', 'cvv': '343', 'card_holder': 'ORÇUN EMRE UMUT TEKİN', 'country_name': 'Turkey', 'card_status': 'Banned', 'money': '15 TRY'}
{'card_number': '4640477842315713', 'expiration_date': '1/27', 'cvv': '631', 'card_holder': 'DORUK MÜJDAT ÖZCAN CAN', 'country_name': 'Turkey', 'card_status': 'Archived', 'money': '1108 TRY'}
{'card_number': '4808160220134231', 'expiration_date': '1/28', 'cvv': '603', 'card_holder': 'ÖMER VURAL İHSAN MAHİR', 'country_name': 'Turkey', 'card_status': 'Active', 'money': '284 TRY'}
{'card_number': '4681000453486068', 'expiration_date': '8/26', 'cvv': '170', 'card_holder': 'TOLUNAY BAHADIR KAMRAN YENER', 'country_name': 'Turkey', 'card_status': 'Active', 'money': '21 TRY'}
{'card_number': '4978984838093370', 'expiration_date': '3/25', 'cvv': '177', 'card_holder': 'VELİ FERDİ ZAFER KORAY', 'country_name': 'Turkey', 'card_status': 'Banned', 'money': '481 TRY'}
{'card_number': '4310152439289824', 'expiration_date': '1/29', 'cvv': '852', 'card_holder': 'KUBİLAY ZÜLFÜ ATİLLA HİLMİ', 'country_name': 'Turkey', 'card_status': 'Active', 'money': '359 TRY'}
{'card_number': '4155006598283309', 'expiration_date': '8/30', 'cvv': '681', 'card_holder': 'UZAY İRFAN GALİP RASİM', 'country_name': 'Turkey', 'card_status': 'Active', 'money': '424 TRY'}
{'card_number': '4632533755057096', 'expiration_date': '12/30', 'cvv': '052', 'card_holder': 'SERKAN CEM BAKİ DİNÇ', 'country_name': 'Turkey', 'card_status': 'Archived', 'money': '111 TRY'}
{'card_number': '4927962196476413', 'expiration_date': '8/24', 'cvv': '243', 'card_holder': 'MURAT FİKRET GÜVEN KADİR', 'country_name': 'Turkey', 'card_status': 'Restricted', 'money': '468 TRY'}
{'card_number': '4461696384619846', 'expiration_date': '5/27', 'cvv': '490', 'card_holder': 'ERDOĞAN YAŞAR SEFA TAMER', 'country_name': 'Turkey', 'card_status': 'Banned', 'money': '265 TRY'}
{'card_number': '4924683438166074', 'expiration_date': '10/30', 'cvv': '510', 'card_holder': 'KAMİL OĞUZ TOLUNAY ORHAN', 'country_name': 'Turkey', 'card_status': 'Banned', 'money': '37 TRY'}
{'card_number': '4387379555011553', 'expiration_date': '5/26', 'cvv': '739', 'card_holder': 'ÇETİN TEVFİK FATİH RASİM', 'country_name': 'Turkey', 'card_status': 'Active', 'money': '34 TRY'}
{'card_number': '4477050387698427', 'expiration_date': '4/30', 'cvv': '980', 'card_holder': 'ÖCAL DORUK ZİYA BÜLENT', 'country_name': 'Turkey', 'card_status': 'Active', 'money': '277 TRY'}
{'card_number': '4193907445195956', 'expiration_date': '10/30', 'cvv': '761', 'card_holder': 'ALİ ERDEM ALPER CAN', 'country_name': 'Turkey', 'card_status': 'Active', 'money': '370 TRY'}
{'card_number': '4219847171686614', 'expiration_date': '12/30', 'cvv': '781', 'card_holder': 'LEVENT ŞEREF YİĞİT SONER', 'country_name': 'Turkey', 'card_status': 'Active', 'money': '19 TRY'}
{'card_number': '4092597251715948', 'expiration_date': '9/29', 'cvv': '482', 'card_holder': 'NECATİ TALAT BERAT SEZGİN', 'country_name': 'Turkey', 'card_status': 'Active', 'money': '34 TRY'}
{'card_number': '4591842908396841', 'expiration_date': '9/28', 'cvv': '850', 'card_holder': 'ÖMER MEHMET YASİN YAĞIZ', 'country_name': 'Turkey', 'card_status': 'Restricted', 'money': '436 TRY'}
{'card_number': '4724452442050472', 'expiration_date': '10/28', 'cvv': '328', 'card_holder': 'TANER MESUT HALİT EFE', 'country_name': 'Turkey', 'card_status': 'Banned', 'money': '420 TRY'}
{'card_number': '4439918931452813', 'expiration_date': '2/27', 'cvv': '473', 'card_holder': 'YAVUZ EFE KADİR SELMAN', 'country_name': 'Turkey', 'card_status': 'Restricted', 'money': '3571 TRY'}
{'card_number': '4158418308122247', 'expiration_date': '10/28', 'cvv': '113', 'card_holder': 'HASİP HALİL MAHİR YAĞIZ', 'country_name': 'Turkey', 'card_status': 'Archived', 'money': '17 TRY'}
{'card_number': '4200613573187531', 'expiration_date': '10/27', 'cvv': '553', 'card_holder': 'NERGİZ YİĞİT GÖRKEM TALAT', 'country_name': 'Turkey', 'card_status': 'Active', 'money': '5902 TRY'}
{'card_number': '4546549924790511', 'expiration_date': '8/28', 'cvv': '520', 'card_holder': 'TAYLAN ÖZGÜR GÜRKAN MESUT', 'country_name': 'Turkey', 'card_status': 'Active', 'money': '378 TRY'}
{'card_number': '4629226369931740', 'expiration_date': '6/30', 'cvv': '409', 'card_holder': 'HASAN CEM KURTULUŞ FİKRET', 'country_name': 'Turkey', 'card_status': 'Banned', 'money': '4 TRY'}
{'card_number': '4450487342694169', 'expiration_date': '11/30', 'cvv': '989', 'card_holder': 'VOLKAN YÜCEL BURAK UFUK', 'country_name': 'Turkey', 'card_status': 'Restricted', 'money': '419 TRY'}
{'card_number': '4394374479834314', 'expiration_date': '11/25', 'cvv': '023', 'card_holder': 'EVREN İZZET KAMRAN BÜLENT', 'country_name': 'Turkey', 'card_status': 'Banned', 'money': '53 TRY'}
{'card_number': '4229054041095948', 'expiration_date': '8/26', 'cvv': '562', 'card_holder': 'MUZAFFER ALP ORHAN TARIK', 'country_name': 'Turkey', 'card_status': 'Archived', 'money': '321 TRY'}
{'card_number': '4826274504364535', 'expiration_date': '7/26', 'cvv': '903', 'card_holder': 'KAMİL ERAY TAYLAN RASİT', 'country_name': 'Turkey', 'card_status': 'Active', 'money': '3069 TRY'}
{'card_number': '4300812070479636', 'expiration_date': '6/25', 'cvv': '641', 'card_holder': 'DORUK İZZET CİHAN KAMRAN', 'country_name': 'Turkey', 'card_status': 'Banned', 'money': '11 TRY'}
{'card_number': '4986386322163323', 'expiration_date': '7/24', 'cvv': '851', 'card_holder': 'TALAT YASİN ZAFER NAMIK', 'country_name': 'Turkey', 'card_status': 'Active', 'money': '475 TRY'}
{'card_number': '4540415439800243', 'expiration_date': '10/28', 'cvv': '354', 'card_holder': 'ASLAN EMİN ZAFER HÜSEYİN', 'country_name': 'Turkey', 'card_status': 'Active', 'money': '1327 TRY'}
{'card_number': '4588127310729580', 'expiration_date': '8/26', 'cvv': '366', 'card_holder': 'MUZAFFER OKAN NERGİZ HAŞIM', 'country_name': 'Turkey', 'card_status': 'Restricted', 'money': '76 TRY'}
{'card_number': '4504038019654717', 'expiration_date': '4/24', 'cvv': '280', 'card_holder': 'UMUT KAMRAN YAĞIZ REFİK', 'country_name': 'Turkey', 'card_status': 'Active', 'money': '40 TRY'}
{'card_number': '4512986691949419', 'expiration_date': '9/30', 'cvv': '391', 'card_holder': 'MEHMET GALİP NİHAT NAMIK', 'country_name': 'Turkey', 'card_status': 'Active', 'money': '21 TRY'}
{'card_number': '4076153275123436', 'expiration_date': '8/27', 'cvv': '582', 'card_holder': 'VOLKAN SERKAN KUBİLAY RASİT', 'country_name': 'Turkey', 'card_status': 'Banned', 'money': '25 TRY'}
{'card_number': '4411796724132590', 'expiration_date': '3/29', 'cvv': '947', 'card_holder': 'RIDVAN İBRAHİM TANER TARIK', 'country_name': 'Turkey', 'card_status': 'Active', 'money': '455 TRY'}
{'card_number': '4720435553257295', 'expiration_date': '10/28', 'cvv': '157', 'card_holder': 'KAYA YILMAZ PAMİR DOĞAN', 'country_name': 'Turkey', 'card_status': 'Banned', 'money': '166 TRY'}
{'card_number': '4236093483650787', 'expiration_date': '4/26', 'cvv': '941', 'card_holder': 'PAMİR TUFAN DİNÇER KAZIM', 'country_name': 'Turkey', 'card_status': 'Active', 'money': '262 TRY'}
{'card_number': '4314361490640215', 'expiration_date': '5/24', 'cvv': '528', 'card_holder': 'VOLKAN TOLGA REFİK MERT', 'country_name': 'Turkey', 'card_status': 'Banned', 'money': '26 TRY'}
{'card_number': '4828557178029899', 'expiration_date': '4/28', 'cvv': '325', 'card_holder': 'FARUK TUNCAY HAŞIM HASİP', 'country_name': 'Turkey', 'card_status': 'Banned', 'money': '54 TRY'}
{'card_number': '4450119866417418', 'expiration_date': '11/25', 'cvv': '396', 'card_holder': 'İSMAİL CENGİZ LATİF ŞAHİN', 'country_name': 'Turkey', 'card_status': 'Active', 'money': '167 TRY'}
{'card_number': '4120422103901198', 'expiration_date': '5/25', 'cvv': '537', 'card_holder': 'ALİ TARIK MAHİR KAMİL', 'country_name': 'Turkey', 'card_status': 'Active', 'money': '429 TRY'}
{'card_number': '4308257706256010', 'expiration_date': '5/26', 'cvv': '553', 'card_holder': 'KEMAL TAHSİN YILMAZ FİKRET', 'country_name': 'Turkey', 'card_status': 'Banned', 'money': '285 TRY'}
{'card_number': '4145172724474510', 'expiration_date': '4/25', 'cvv': '806', 'card_holder': 'AHMET FAİK EVREN MAHMUT', 'country_name': 'Turkey', 'card_status': 'Banned', 'money': '228 TRY'}
{'card_number': '4148069266714989', 'expiration_date': '7/28', 'cvv': '653', 'card_holder': 'BAHADIR BÜLENT KAMRAN ERTUĞRUL', 'country_name': 'Turkey', 'card_status': 'Active', 'money': '135 TRY'}
{'card_number': '4285723368916248', 'expiration_date': '4/28', 'cvv': '630', 'card_holder': 'VEDİ YENER VEDAT FARUK', 'country_name': 'Turkey', 'card_status': 'Banned', 'money': '18 TRY'}
{'card_number': '4471492362759517', 'expiration_date': '4/26', 'cvv': '654', 'card_holder': 'HAYDAR TAYLAN MAHİR TALAT', 'country_name': 'Turkey', 'card_status': 'Active', 'money': '434 TRY'}
{'card_number': '4339841407850222', 'expiration_date': '7/25', 'cvv': '301', 'card_holder': 'SONER UZAY TUFAN ASLAN', 'country_name': 'Turkey', 'card_status': 'Active', 'money': '127 TRY'}
{'card_number': '4664233715808248', 'expiration_date': '5/26', 'cvv': '951', 'card_holder': 'VURAL TAMER NAİM ENGİN', 'country_name': 'Turkey', 'card_status': 'Banned', 'money': '4 TRY'}
{'card_number': '4775052313944957', 'expiration_date': '3/25', 'cvv': '241', 'card_holder': 'DURMUŞ ŞAHİN DAVUT MESUT', 'country_name': 'Turkey', 'card_status': 'Banned', 'money': '115 TRY'}
{'card_number': '4924367800523027', 'expiration_date': '1/26', 'cvv': '502', 'card_holder': 'CİHAN LATİF RAMAZAN KAZIM', 'country_name': 'Turkey', 'card_status': 'Active', 'money': '19 TRY'}
{'card_number': '4054339951563849', 'expiration_date': '8/26', 'cvv': '331', 'card_holder': 'MUSTAFA HÜSEYİN ERAY KAZIM', 'country_name': 'Turkey', 'card_status': 'Restricted', 'money': '41 TRY'}
{'card_number': '4236866726581285', 'expiration_date': '5/30', 'cvv': '529', 'card_holder': 'GÖKHAN BAKİ NAZIM ÇAĞLAR', 'country_name': 'Turkey', 'card_status': 'Active', 'money': '322 TRY'}
{'card_number': '4500253427474780', 'expiration_date': '11/30', 'cvv': '958', 'card_holder': 'ÖNDER NAİM ŞAHİN HALİL', 'country_name': 'Turkey', 'card_status': 'Active', 'money': '5 TRY'}
{'card_number': '4956454013634550', 'expiration_date': '3/25', 'cvv': '628', 'card_holder': 'DORUK ALİ PAMİR KORAY', 'country_name': 'Turkey', 'card_status': 'Restricted', 'money': '53 TRY'}
{'card_number': '4535712519175984', 'expiration_date': '4/28', 'cvv': '721', 'card_holder': 'İSMAİL EREN CİHAN VOLKAN', 'country_name': 'Turkey', 'card_status': 'Banned', 'money': '208 TRY'}
{'card_number': '4794146220360773', 'expiration_date': '5/24', 'cvv': '913', 'card_holder': 'VELİ KURTULUŞ EVREN VURAL', 'country_name': 'Turkey', 'card_status': 'Active', 'money': '379 TRY'}
{'card_number': '4423306559239258', 'expiration_date': '9/28', 'cvv': '461', 'card_holder': 'CAN ALİ CİHAN ÖZTÜRK', 'country_name': 'Turkey', 'card_status': 'Active', 'money': '314 TRY'}
{'card_number': '4371808932351785', 'expiration_date': '10/28', 'cvv': '992', 'card_holder': 'MAHMUT AHMET AYHAN GÖKTUĞ', 'country_name': 'Turkey', 'card_status': 'Banned', 'money': '0 TRY'}
{'card_number': '4991844439844311', 'expiration_date': '11/24', 'cvv': '569', 'card_holder': 'ORÇUN VEDİ FURKAN DENİZ', 'country_name': 'Turkey', 'card_status': 'Active', 'money': '37 TRY'}
{'card_number': '4386302230837276', 'expiration_date': '6/26', 'cvv': '794', 'card_holder': 'YAHYA MEHMET ZİHNİ VOLKAN', 'country_name': 'Turkey', 'card_status': 'Active', 'money': '442 TRY'}
{'card_number': '4217698460488168', 'expiration_date': '5/25', 'cvv': '505', 'card_holder': 'ÖMER BAHADIR DAVUT HALİT', 'country_name': 'Turkey', 'card_status': 'Archived', 'money': '29 TRY'}
{'card_number': '4399147675700934', 'expiration_date': '4/28', 'cvv': '105', 'card_holder': 'OĞUZ MAHMUT HALİT AYHAN', 'country_name': 'Turkey', 'card_status': 'Banned', 'money': '343 TRY'}
{'card_number': '4824264350125819', 'expiration_date': '6/29', 'cvv': '075', 'card_holder': 'GÖRKEM YİĞİT DİNÇ AHMET', 'country_name': 'Turkey', 'card_status': 'Active', 'money': '487 TRY'}
{'card_number': '4141851701621896', 'expiration_date': '12/27', 'cvv': '254', 'card_holder': 'AHMET SEMİH İLYAS ORHAN', 'country_name': 'Turkey', 'card_status': 'Active', 'money': '274 TRY'}
{'card_number': '4075218272739194', 'expiration_date': '6/29', 'cvv': '342', 'card_holder': 'ENVER EFE KEREM ÖZGÜR', 'country_name': 'Turkey', 'card_status': 'Banned', 'money': '253 TRY'}
{'card_number': '4258058924521338', 'expiration_date': '7/25', 'cvv': '451', 'card_holder': 'MERT CİHAN TURGUT YENER', 'country_name': 'Turkey', 'card_status': 'Active', 'money': '340 TRY'}
{'card_number': '4231230373789235', 'expiration_date': '10/27', 'cvv': '448', 'card_holder': 'NAMIK RASİM ÖZTÜRK ÖZDEMİR', 'country_name': 'Turkey', 'card_status': 'Archived', 'money': '104 TRY'}
{'card_number': '4437171016761284', 'expiration_date': '2/27', 'cvv': '368', 'card_holder': 'UMUT TANSU SEMİH ZEKİ', 'country_name': 'Turkey', 'card_status': 'Active', 'money': '142 TRY'}
{'card_number': '4844641340018574', 'expiration_date': '2/30', 'cvv': '721', 'card_holder': 'ORHAN YILDIRIM TAYFUN ALİ', 'country_name': 'Turkey', 'card_status': 'Active', 'money': '912 TRY'}
{'card_number': '4236276730831108', 'expiration_date': '3/25', 'cvv': '011', 'card_holder': 'İBRAHİM TANER HALİT YİĞİT', 'country_name': 'Turkey', 'card_status': 'Active', 'money': '207 TRY'}
{'card_number': '4288040882944789', 'expiration_date': '12/28', 'cvv': '869', 'card_holder': 'İZZET ŞENOL ZAİM HASAN', 'country_name': 'Turkey', 'card_status': 'Active', 'money': '69 TRY'}
{'card_number': '4335818807320489', 'expiration_date': '5/26', 'cvv': '596', 'card_holder': 'ERAY DAVUT HİLMİ VURAL', 'country_name': 'Turkey', 'card_status': 'Banned', 'money': '220 TRY'}
{'card_number': '4747533476929708', 'expiration_date': '6/25', 'cvv': '179', 'card_holder': 'MUSTAFA CİHAN BARIŞ ÇAĞRI', 'country_name': 'Turkey', 'card_status': 'Banned', 'money': '392 TRY'}
{'card_number': '4079660393861199', 'expiration_date': '12/25', 'cvv': '763', 'card_holder': 'SERKAN KADİR ÇAĞRI ZİHNİ', 'country_name': 'Turkey', 'card_status': 'Active', 'money': '468 TRY'}
{'card_number': '4613180727564339', 'expiration_date': '11/29', 'cvv': '718', 'card_holder': 'KEMAL HALİL FERİT YAĞIZ', 'country_name': 'Turkey', 'card_status': 'Active', 'money': '38 TRY'}
{'card_number': '4514115880907875', 'expiration_date': '7/26', 'cvv': '420', 'card_holder': 'LEVENT MUSTAFA KAMİL MURAT', 'country_name': 'Turkey', 'card_status': 'Banned', 'money': '222 TRY'}
{'card_number': '4353694327335399', 'expiration_date': '2/25', 'cvv': '808', 'card_holder': 'HAKAN CENGİZ PAMİR HARUN', 'country_name': 'Turkey', 'card_status': 'Banned', 'money': '386 TRY'}
{'card_number': '4746797160034189', 'expiration_date': '9/27', 'cvv': '741', 'card_holder': 'UMUT GÜVEN YAHYA TANER', 'country_name': 'Turkey', 'card_status': 'Restricted', 'money': '2479 TRY'}
{'card_number': '4063974271852537', 'expiration_date': '6/28', 'cvv': '119', 'card_holder': 'MÜJDAT SEFA KUBİLAY TEKİN', 'country_name': 'Turkey', 'card_status': 'Archived', 'money': '21 TRY'}
{'card_number': '4051847879640856', 'expiration_date': '5/30', 'cvv': '992', 'card_holder': 'SEZGİN ZAİD TANSU İZZET', 'country_name': 'Turkey', 'card_status': 'Active', 'money': '318 TRY'}
{'card_number': '4977935470730787', 'expiration_date': '11/24', 'cvv': '704', 'card_holder': 'KAMRAN MESUT EMİN LEVENT', 'country_name': 'Turkey', 'card_status': 'Active', 'money': '451 TRY'}
{'card_number': '4646946491450959', 'expiration_date': '12/25', 'cvv': '213', 'card_holder': 'HAYDAR EMİN VEDAT İBRAHİM', 'country_name': 'Turkey', 'card_status': 'Restricted', 'money': '1905 TRY'}
{'card_number': '4906184278945026', 'expiration_date': '6/29', 'cvv': '402', 'card_holder': 'YILDIRIM TALAT YAVUZ İLYAS', 'country_name': 'Turkey', 'card_status': 'Active', 'money': '266 TRY'}
{'card_number': '4026925372546010', 'expiration_date': '5/24', 'cvv': '858', 'card_holder': 'BARIŞ CENGİZ NERGİZ EMİN', 'country_name': 'Turkey', 'card_status': 'Banned', 'money': '6121 TRY'}
{'card_number': '4429904721489787', 'expiration_date': '6/25', 'cvv': '792', 'card_holder': 'ÇAĞLAR TAHSİN BAHADIR YAŞAR', 'country_name': 'Turkey', 'card_status': 'Banned', 'money': '388 TRY'}
{'card_number': '4389838782369546', 'expiration_date': '2/29', 'cvv': '757', 'card_holder': 'EFE FİKRET HALİT ENVER', 'country_name': 'Turkey', 'card_status': 'Banned', 'money': '373 TRY'}
{'card_number': '4525117579355090', 'expiration_date': '12/30', 'cvv': '494', 'card_holder': 'KUBİLAY CİHAN DAVUT UZAY', 'country_name': 'Turkey', 'card_status': 'Banned', 'money': '1270 TRY'}
{'card_number': '4041805070511428', 'expiration_date': '4/30', 'cvv': '210', 'card_holder': 'TAHSİN ONUR ALPER İHSAN', 'country_name': 'Turkey', 'card_status': 'Active', 'money': '47 TRY'}
{'card_number': '4150517310584696', 'expiration_date': '6/24', 'cvv': '789', 'card_holder': 'ZİYA TOPRAK VOLKAN HÜSEYİN', 'country_name': 'Turkey', 'card_status': 'Archived', 'money': '396 TRY'}
{'card_number': '4700567384848076', 'expiration_date': '4/26', 'cvv': '020', 'card_holder': 'FERHAT TOLGA KURTULUŞ ZEKİ', 'country_name': 'Turkey', 'card_status': 'Restricted', 'money': '26 TRY'}
{'card_number': '4480456394824408', 'expiration_date': '9/30', 'cvv': '550', 'card_holder': 'YÜCEL ERDOĞAN TANER CİHAN', 'country_name': 'Turkey', 'card_status': 'Active', 'money': '494 TRY'}
{'card_number': '4057342013779863', 'expiration_date': '7/25', 'cvv': '367', 'card_holder': 'TALAT ŞAHİN YİĞİT EFE', 'country_name': 'Turkey', 'card_status': 'Restricted', 'money': '57 TRY'}
{'card_number': '4837954160832597', 'expiration_date': '5/27', 'cvv': '452', 'card_holder': 'TURGUT POLAT DORUK TEVFİK', 'country_name': 'Turkey', 'card_status': 'Banned', 'money': '444 TRY'}
{'card_number': '4495906000996118', 'expiration_date': '7/26', 'cvv': '902', 'card_holder': 'HAŞIM HALİL BERAT ÖZGÜR', 'country_name': 'Turkey', 'card_status': 'Active', 'money': '3150 TRY'}
{'card_number': '4621732144580783', 'expiration_date': '1/28', 'cvv': '752', 'card_holder': 'KAYA KAYA YAHYA BAYRAM', 'country_name': 'Turkey', 'card_status': 'Active', 'money': '44 TRY'}
{'card_number': '4020804887693722', 'expiration_date': '9/28', 'cvv': '541', 'card_holder': 'MUZAFFER KAYA TOPRAK AYBARS', 'country_name': 'Turkey', 'card_status': 'Restricted', 'money': '14 TRY'}
{'card_number': '4266051248790077', 'expiration_date': '12/24', 'cvv': '164', 'card_holder': 'TAYFUN ATİLLA EVREN FATİH', 'country_name': 'Turkey', 'card_status': 'Active', 'money': '169 TRY'}
{'card_number': '4374644361862050', 'expiration_date': '9/26', 'cvv': '277', 'card_holder': 'OĞUZ YİĞİT İLYAS ÖNDER', 'country_name': 'Turkey', 'card_status': 'Active', 'money': '8 TRY'}
{'card_number': '4399561903982710', 'expiration_date': '5/25', 'cvv': '379', 'card_holder': 'ALİ BARIŞ GÖKTUĞ MEHMET', 'country_name': 'Turkey', 'card_status': 'Banned', 'money': '417 TRY'}
{'card_number': '4757247497090070', 'expiration_date': '7/24', 'cvv': '817', 'card_holder': 'ZEKİ KEMAL ÜLKÜ CAN', 'country_name': 'Turkey', 'card_status': 'Active', 'money': '401 TRY'}
{'card_number': '4843161054873628', 'expiration_date': '1/30', 'cvv': '994', 'card_holder': 'PAMİR TUNCAY YAŞAR KURTULUŞ', 'country_name': 'Turkey', 'card_status': 'Banned', 'money': '22 TRY'}
{'card_number': '4257471682938175', 'expiration_date': '8/25', 'cvv': '130', 'card_holder': 'ENVER NERGİZ FAİK KUBİLAY', 'country_name': 'Turkey', 'card_status': 'Banned', 'money': '26 TRY'}
{'card_number': '4053660086749305', 'expiration_date': '5/29', 'cvv': '396', 'card_holder': 'EMİN MAHMUT NAZIM OĞUZ', 'country_name': 'Turkey', 'card_status': 'Active', 'money': '40 TRY'}
{'card_number': '4366388688873958', 'expiration_date': '9/29', 'cvv': '133', 'card_holder': 'VEDİ YAVUZ ZİYA KAMRAN', 'country_name': 'Turkey', 'card_status': 'Banned', 'money': '25 TRY'}
{'card_number': '4491558140931010', 'expiration_date': '5/26', 'cvv': '170', 'card_holder': 'NİYAZİ SALİH MERİÇ KEREM', 'country_name': 'Turkey', 'card_status': 'Restricted', 'money': '355 TRY'}
{'card_number': '4452026294635602', 'expiration_date': '6/30', 'cvv': '632', 'card_holder': 'EMRE DURMUŞ ORHAN SERKAN', 'country_name': 'Turkey', 'card_status': 'Active', 'money': '117 TRY'}
{'card_number': '4931549006232161', 'expiration_date': '5/24', 'cvv': '786', 'card_holder': 'ÇAĞRI BAHADIR CUMA MERİÇ', 'country_name': 'Turkey', 'card_status': 'Active', 'money': '472 TRY'}
{'card_number': '4797211265092959', 'expiration_date': '9/30', 'cvv': '334', 'card_holder': 'TANJU LOKMAN TOLGA YAHYA', 'country_name': 'Turkey', 'card_status': 'Active', 'money': '3209 TRY'}
{'card_number': '4250600835760204', 'expiration_date': '11/24', 'cvv': '172', 'card_holder': 'MÜJDAT CAN KORAY AHMET', 'country_name': 'Turkey', 'card_status': 'Banned', 'money': '114 TRY'}
{'card_number': '4917904328381659', 'expiration_date': '11/30', 'cvv': '977', 'card_holder': 'OSMAN BARIŞ CİHAN İLYAS', 'country_name': 'Turkey', 'card_status': 'Banned', 'money': '48 TRY'}
{'card_number': '4487674702153509', 'expiration_date': '8/29', 'cvv': '002', 'card_holder': 'ÖMER VOLKAN NECATİ HALUK', 'country_name': 'Turkey', 'card_status': 'Banned', 'money': '5 TRY'}
{'card_number': '4423212991139090', 'expiration_date': '10/27', 'cvv': '377', 'card_holder': 'FATİH FAİK SEFA HAŞIM', 'country_name': 'Turkey', 'card_status': 'Restricted', 'money': '45 TRY'}
{'card_number': '4899556671251095', 'expiration_date': '4/28', 'cvv': '407', 'card_holder': 'ZÜLFÜ NERGİZ DİNÇER KADİR', 'country_name': 'Turkey', 'card_status': 'Active', 'money': '85 TRY'}
{'card_number': '4295552983117611', 'expiration_date': '11/24', 'cvv': '434', 'card_holder': 'BATUHAN KURTULUŞ ÇAĞRI İBRAHİM', 'country_name': 'Turkey', 'card_status': 'Active', 'money': '168 TRY'}
{'card_number': '4718380230181225', 'expiration_date': '7/27', 'cvv': '982', 'card_holder': 'ÜMİT HAKAN SEZGİN AYBARS', 'country_name': 'Turkey', 'card_status': 'Active', 'money': '50 TRY'}
{'card_number': '4157900020549717', 'expiration_date': '7/26', 'cvv': '802', 'card_holder': 'LEVENT ŞENOL CENGİZ DENİZ', 'country_name': 'Turkey', 'card_status': 'Active', 'money': '38 TRY'}
